Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),link,Core_composition_formula,length,width,depth
0.357,0.693,0.000,0.000,0.651,8.700,10.434,9.306,10.434,0.000,11.849,6.486,0.693,0.095,1.323,5.124,0.288,3.367,1.518,3.008,0.405,0.000,https://doi.org/10.1016/j.biomaterials.2014.04.036,Au1Fe2O3,14.000,14.000,14.000
0.352,0.693,2.079,,0.693,11.078,12.315,12.283,7.314,0.000,14.511,6.621,0.693,0.157,1.322,5.429,0.288,3.045,0.000,0.000,0.145,0.015,https://doi.org/10.1039/d0na00820f,Co0.03Fe0.97Fe2O4,7.100,7.100,7.100
0.361,0.693,2.079,,0.693,11.078,12.315,12.283,7.601,0.000,14.511,6.520,0.693,0.157,1.322,5.429,0.288,3.045,0.000,0.000,0.145,0.015,https://doi.org/10.1039/d0na00820f,Co0.05Fe0.95Fe2O4,6.900,6.900,6.900
0.302,0.693,0.693,1.438,0.693,10.567,12.315,12.989,11.314,0.693,14.798,6.621,0.693,,1.322,5.429,0.288,4.311,4.970,2.468,0.405,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.1Fe0.9Fe2O4,17.000,17.000,17.000
0.302,0.693,0.693,1.438,0.693,10.567,12.315,12.989,11.314,0.693,14.798,6.621,0.693,,1.322,5.429,0.288,4.468,2.313,4.248,0.405,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.1Fe0.9Fe2O4,17.000,17.000,17.000
0.405,0.693,0.000,0.000,0.693,12.206,8.102,13.271,11.314,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.419,2.128,4.190,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.405,0.693,0.000,0.000,0.693,12.206,8.102,13.271,11.314,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.419,2.128,4.190,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.405,0.693,0.000,0.000,0.693,12.206,8.102,13.271,11.314,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.419,2.128,4.190,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.352,0.693,2.079,,0.693,11.078,12.315,12.989,11.314,0.000,14.511,6.621,0.693,,1.322,5.429,0.288,3.045,0.000,0.000,0.405,0.015,https://doi.org/10.1039/d0na00820f,Co0.1Fe0.9Fe2O4,7.100,7.100,7.100
0.147,0.693,0.000,0.000,0.698,9.842,10.930,9.306,9.952,0.000,13.557,6.678,0.693,0.113,1.321,5.429,0.288,4.543,0.000,0.000,0.405,0.004,https://doi.org/10.1021/acsnano.8b06542,Co0.24Mn0.15Fe0.61Fe2O4,19.000,19.000,19.000
