link                                               ,Effective anisotropy constant (J/m3) ,magnetic anisotropy constant (J/m3) ,magnetocrystalline anisotropy constant (J/m3) ,Anisotropy constant ,mass_magnetic_susceptibility(emu/Oe*g) ,"length, nm" ,Core_composition_formula ,magnetization reversibility ,magnetocrystalline anisotropy energy (MAE) (J/m3) ,Curie temperature (K) ,exchange constant (J/m) *10^-12 ,Crystalline ,interdomain coupling (alpha) ,pinning loss (A/m) ,Effective anisotropy constant (kJ/m3) ,Spehricity ,volume            ,surface area    ,"width, nm" ,"depth, nm" ,Electronegativity core ,Elongation  ,Flatness    ,Space group ,Demagnetization factors (Nd) ,Saturation magnetization (emu/g) ,Coercivity (Oe) ,Remanence magnetization (emu/g) ,Shell composition (surface)                         ,shape name ,Max/min(size) ,surface                          ,pol                  ,surf                       ,Magnetic moment of core ,LogP of organic coating ,Number H acceptors of organic coating ,Field amplitude ,Field frequency ,SAR
https://doi.org/10.1016/j.biomaterials.2014.04.036 ,                             6000    ,                            34000   ,                                              ,           34000    ,                                       ,       14    ,Au1Fe2O3                 ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                                 6    ,           ,                  ,                ,      14    ,      14    ,           2.753333333 ,1           ,1           ,        167 ,                 0.333333333 ,                         28      ,          3.564 ,                       19.253   ,                                                    ,dimer      ,            1 ,                                 ,                     ,                           ,                  2.262 ,0                       ,                                    0 ,        126     ,          0.32  ,  74
https://doi.org/10.1039/d0na00820f                 ,                                     ,                                    ,                                              ,            1500    ,                                       ,        7.1  ,Co0.03Fe0.97Fe2O4        ,                            ,                                                  ,                      ,                                ,no          ,                             ,                   ,                                      ,  1        ,     1499.214091  ,    633.4707427 ,       7.1  ,       7.1  ,           2.750214286 ,1           ,1           ,        227 ,                 0.333333333 ,                         20      ,          0     ,                        0       ,carboxymethylcellulose                              ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.387 ,-3.288                  ,                                    7 ,        250     ,          0.11  ,  11.8
https://doi.org/10.1039/d0na00820f                 ,                                     ,                                    ,                                              ,            2000    ,                                       ,        6.9  ,Co0.05Fe0.95Fe2O4        ,                            ,                                                  ,                      ,                                ,no          ,                             ,                   ,                                      ,  1        ,     1376.055281  ,    598.2849049 ,       6.9  ,       6.9  ,           2.750357143 ,1           ,1           ,        227 ,                 0.333333333 ,                         20      ,          0     ,                        0       ,carboxymethylcellulose                              ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.384 ,-3.288                  ,                                    7 ,        250     ,          0.11  ,  13.3
http://dx.doi.org/10.1021/acs.chemmater.5b04780    ,                                     ,                                    ,                                              ,           82000    ,                                       ,       17    ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,yes         ,                             ,                   ,                                      ,  1        ,     4913         ,   1734         ,      17    ,      17    ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         73.5    ,        143     ,                       10.8     ,decanoic acid                                       ,cube       ,            0 ,                                 ,                     ,                           ,                  2.377 ,3.212                   ,                                    1 ,        251.37  ,          0.18  , 430.24
http://dx.doi.org/10.1021/acs.chemmater.5b04780    ,                                     ,                                    ,                                              ,           82000    ,                                       ,       17    ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,yes         ,                             ,                   ,                                      ,  1        ,     4913         ,   1734         ,      17    ,      17    ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         86.2    ,          9.1   ,                       69       ,decanoic acid                                       ,cube       ,            0 ,                                 ,                     ,                           ,                  2.377 ,3.212                   ,                                    1 ,        201.12  ,          0.3   , 213.743
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                       580000 ,           82000    ,                                       ,        6    ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,      904.7786842 ,    452.3893421 ,       6    ,       6    ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         82      ,          7.4   ,                       65       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.377 ,0                       ,                                    0 ,        184     ,          0.27  , 107
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                       580000 ,           82000    ,                                       ,        6    ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,      904.7786842 ,    452.3893421 ,       6    ,       6    ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         82      ,          7.4   ,                       65       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.377 ,0                       ,                                    0 ,        234     ,          0.27  , 130
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                       580000 ,           82000    ,                                       ,        6    ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,      904.7786842 ,    452.3893421 ,       6    ,       6    ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         82      ,          7.4   ,                       65       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.377 ,0                       ,                                    0 ,        491     ,          0.27  , 210
https://doi.org/10.1039/d0na00820f                 ,                                     ,                                    ,                                              ,           82000    ,                                       ,        7.1  ,Co0.1Fe0.9Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                                      ,  1        ,     1499.214091  ,    633.4707427 ,       7.1  ,       7.1  ,           2.750714286 ,1           ,1           ,        227 ,                 0.333333333 ,                         20      ,          0     ,                        0       ,carboxymethylcellulose                              ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.377 ,-3.288                  ,                                    7 ,        250     ,          0.11  ,  13.8
https://doi.org/10.1021/acsnano.8b06542            ,                                     ,                                    ,                                              ,                    ,                                       ,       19    ,Co0.24Mn0.15Fe0.61Fe2O4  ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                                      ,  1        ,    28730.91201   ,   4536.459792  ,      19    ,      19    ,           2.745714286 ,1           ,1           ,            ,                 0.333333333 ,                         93      ,          0     ,                        0       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.378 ,0                       ,                                    0 ,        337     ,          0.42  ,1718
http://dx.doi.org/10.1021/acs.chemmater.5b04780    ,                                     ,                                    ,                                              ,          119000    ,                                       ,       19    ,Co0.3Fe0.7Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                                      ,  1        ,     6859         ,   2166         ,      19    ,      19    ,           2.752142857 ,1           ,1           ,        227 ,                 0.333333333 ,                         63.97   ,         94.12  ,                        8.107   ,decanoic acid                                       ,cube       ,            0 ,                                 ,                     ,                           ,                  2.348 ,3.212                   ,                                    1 ,        251.4   ,          0.1   , 226.26
http://dx.doi.org/10.1021/acs.chemmater.5b04780    ,                                     ,                                    ,                                              ,          119000    ,                                       ,       19    ,Co0.3Fe0.7Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                                      ,  1        ,     6859         ,   2166         ,      19    ,      19    ,           2.752142857 ,1           ,1           ,        227 ,                 0.333333333 ,                         63.97   ,         94.12  ,                        6.107   ,decanoic acid                                       ,cube       ,            0 ,                                 ,                     ,                           ,                  2.348 ,3.212                   ,                                    1 ,        402.24  ,          0.1   , 563.64
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                       820000 ,          119000    ,                                       ,        9    ,Co0.3Fe0.7Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,     3053.628059  ,   1017.87602   ,       9    ,       9    ,           2.752142857 ,1           ,1           ,        227 ,                 0.333333333 ,                         84      ,         10.597 ,                       70       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.348 ,0                       ,                                    0 ,        184     ,          0.27  , 130
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                       820000 ,          119000    ,                                       ,        9    ,Co0.3Fe0.7Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,     3053.628059  ,   1017.87602   ,       9    ,       9    ,           2.752142857 ,1           ,1           ,        227 ,                 0.333333333 ,                         84      ,         10.597 ,                       70       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.348 ,0                       ,                                    0 ,        234     ,          0.27  , 205
https://doi.org/10.1063/1.5006515                  ,                           200000    ,                                    ,                                      1700000 ,          119000    ,                                       ,        9    ,Co0.3Fe0.7Fe2O4          ,                            ,                                                  ,                      ,                                ,            ,                             ,                   ,                               200    ,  1        ,     3053.628059  ,   1017.87602   ,       9    ,       9    ,           2.752142857 ,1           ,1           ,        227 ,                 0.333333333 ,                         84      ,         10.597 ,                       70       ,                                                    ,sphere     ,            0 ,                                 ,                     ,                           ,                  2.348 ,0                       ,                                    0 ,        491     ,          0.27  , 350
