Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.214,0.000,0.000,0.330,0.367,0.003,0.005,0.002,0.114,0.0,0.050,0.387,1.0,0.634,0.865,0.7333333333333334,1.000,-1.199,0.226,0.138,0.038,0.000
0.211,0.000,0.778,0.000,0.400,0.034,0.034,0.041,0.003,0.0,0.750,0.457,1.0,0.636,0.861,1.0,1.000,-1.362,-5.199,0.000,0.000,1.000
0.217,0.000,0.778,0.000,0.400,0.034,0.034,0.041,0.005,0.0,0.750,0.404,1.0,0.636,0.861,1.0,1.000,-1.362,-5.199,0.000,0.000,1.000
0.176,0.000,0.111,0.653,0.400,0.020,0.034,0.083,0.277,1.0,1.000,0.457,1.0,0.475,0.862,1.0,1.000,0.439,1.177,0.077,0.038,1.000
0.176,0.000,0.111,0.653,0.400,0.020,0.034,0.083,0.277,1.0,1.000,0.457,1.0,0.475,0.862,1.0,1.000,0.921,0.385,0.493,0.038,1.000
0.250,0.000,0.000,0.330,0.400,0.105,0.000,0.110,0.277,0.0,0.000,0.387,1.0,0.636,0.862,1.0,1.000,0.789,0.347,0.464,1.000,1.000
0.250,0.000,0.000,0.330,0.400,0.105,0.000,0.110,0.277,0.0,0.000,0.387,1.0,0.636,0.862,1.0,1.000,0.789,0.347,0.464,1.000,1.000
0.250,0.000,0.000,0.330,0.400,0.105,0.000,0.110,0.277,0.0,0.000,0.387,1.0,0.636,0.862,1.0,1.000,0.789,0.347,0.464,1.000,1.000
0.211,0.000,0.778,0.000,0.400,0.034,0.034,0.083,0.277,0.0,0.750,0.457,1.0,0.475,0.862,1.0,1.000,-1.362,-5.199,0.000,0.038,1.000
0.079,0.000,0.000,0.330,0.404,0.010,0.008,0.002,0.070,0.0,0.287,0.488,1.0,0.634,0.857,1.0,1.000,1.850,-5.199,0.000,0.038,0.267
0.158,0.000,0.111,0.653,0.400,0.016,0.034,0.158,0.404,0.0,1.000,0.457,1.0,0.475,0.864,1.0,1.000,-0.038,0.924,0.058,0.038,1.000
0.158,0.000,0.111,0.653,0.400,0.016,0.034,0.158,0.404,0.0,1.000,0.457,1.0,0.475,0.864,1.0,1.000,-0.038,0.924,0.044,0.038,1.000
0.166,0.000,0.000,0.330,0.400,0.105,0.000,0.155,0.404,0.0,0.000,0.387,1.0,0.636,0.864,1.0,1.000,0.851,0.414,0.500,1.000,1.000
0.166,0.000,0.000,0.330,0.400,0.105,0.000,0.155,0.404,0.0,0.000,0.387,1.0,0.636,0.864,1.0,1.000,0.851,0.414,0.500,1.000,1.000
0.166,0.000,0.000,0.330,0.400,0.105,0.000,0.322,0.404,0.0,0.000,0.387,1.0,0.636,0.864,1.0,1.000,0.851,0.414,0.500,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,0.444,0.464,0.351,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.977,0.187,0.214,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.151,0.187,0.214,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.151,0.187,0.214,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.151,0.187,0.214,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.151,0.187,0.214,1.000,1.000
0.150,0.000,0.111,0.653,0.400,0.169,0.000,1.000,0.935,1.0,0.000,0.365,1.0,0.636,0.866,1.0,1.000,-0.151,0.187,0.214,1.000,1.000
