Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.214,0.000,0.000,0.330,0.367,-0.912,0.005,0.002,0.108,0.000,0.050,0.387,1.000,0.634,0.865,0.733,1.000,0.037,0.226,0.138,0.038,0.000
0.211,0.000,0.778,0.000,0.400,1.163,0.034,0.041,0.003,0.000,0.750,0.457,1.000,0.636,0.861,1.000,1.000,0.026,-5.199,0.000,0.000,1.000
0.217,0.000,0.778,0.000,0.400,1.163,0.034,0.041,0.005,0.000,0.750,0.404,1.000,0.636,0.861,1.000,1.000,0.026,-5.199,0.000,0.000,1.000
0.176,0.000,0.111,0.653,0.400,0.538,0.034,0.083,0.245,1.000,1.000,0.457,1.000,0.475,0.862,1.000,1.000,0.098,1.177,0.077,0.038,1.000
0.176,0.000,0.111,0.653,0.400,0.538,0.034,0.083,0.245,1.000,1.000,0.457,1.000,0.475,0.862,1.000,1.000,0.115,0.385,0.493,0.038,1.000
0.250,0.000,0.000,0.330,0.400,1.707,0.000,0.110,0.245,0.000,0.000,0.387,1.000,0.636,0.862,1.000,1.000,0.109,0.347,0.464,1.000,1.000
0.250,0.000,0.000,0.330,0.400,1.707,0.000,0.110,0.245,0.000,0.000,0.387,1.000,0.636,0.862,1.000,1.000,0.109,0.347,0.464,1.000,1.000
0.250,0.000,0.000,0.330,0.400,1.707,0.000,0.110,0.245,0.000,0.000,0.387,1.000,0.636,0.862,1.000,1.000,0.109,0.347,0.464,1.000,1.000
0.211,0.000,0.778,0.000,0.400,1.163,0.034,0.083,0.245,0.000,0.750,0.457,1.000,0.475,0.862,1.000,1.000,0.026,-5.199,0.000,0.038,1.000
0.079,0.000,0.000,0.330,0.404,0.295,0.008,0.002,0.067,0.000,0.287,0.488,1.000,0.634,0.857,1.000,1.000,0.124,-5.199,0.000,0.038,0.267
0.158,0.000,0.111,0.653,0.400,0.453,0.034,0.158,0.339,0.000,1.000,0.457,1.000,0.475,0.864,1.000,1.000,0.085,0.924,0.058,0.038,1.000
0.158,0.000,0.111,0.653,0.400,0.453,0.034,0.158,0.339,0.000,1.000,0.457,1.000,0.475,0.864,1.000,1.000,0.085,0.924,0.044,0.038,1.000
0.166,0.000,0.000,0.330,0.400,1.707,0.000,0.155,0.339,0.000,0.000,0.387,1.000,0.636,0.864,1.000,1.000,0.112,0.414,0.500,1.000,1.000
0.166,0.000,0.000,0.330,0.400,1.707,0.000,0.155,0.339,0.000,0.000,0.387,1.000,0.636,0.864,1.000,1.000,0.112,0.414,0.500,1.000,1.000
0.166,0.000,0.000,0.330,0.400,1.707,0.000,0.322,0.339,0.000,0.000,0.387,1.000,0.636,0.864,1.000,1.000,0.112,0.414,0.500,1.000,1.000
0.125,0.000,0.000,0.330,0.400,1.707,0.034,0.322,0.660,0.000,0.750,0.365,1.000,0.636,0.866,1.000,1.000,0.103,0.474,0.479,1.000,1.000
0.125,0.000,0.000,0.330,0.400,1.707,0.000,0.322,0.080,0.000,0.000,0.387,1.000,0.636,0.866,1.000,1.000,0.103,0.474,0.479,1.000,1.000
0.125,0.000,0.000,0.330,0.400,1.707,0.000,0.322,0.080,0.000,0.000,0.387,1.000,0.636,0.866,1.000,1.000,0.103,0.474,0.479,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.080,0.338,0.286,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.065,1.329,0.107,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.065,1.329,0.107,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.065,1.329,0.107,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.065,1.329,0.107,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.065,1.329,0.107,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.070,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.070,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.070,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.070,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.064,1.329,0.110,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.064,1.329,0.110,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.064,1.329,0.110,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.064,1.329,0.110,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.064,1.329,0.110,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.093,1.459,0.143,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.084,0.439,0.308,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.084,0.439,0.308,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.084,0.439,0.308,1.000,1.000
0.111,0.000,0.111,0.653,0.400,0.622,0.034,0.038,0.693,0.000,1.000,0.311,1.000,0.636,0.867,1.000,1.000,0.084,0.439,0.308,1.000,1.000
