,id,orig_c1,orig_c2,c1,c2,c3,formula_combined,chemical_formula,x,y,z,sphericity,shape,area/volume,max/min,space_group_core,space_group_shell,crystal_structure,coer_oe,sat_em_g,mr (emu/g),exc_bias_oe,ver_shift_emu_g,temperature_k,fc_field_t,h_range_max_koe,mass_ratio,exc_dir,ver_s_dir,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant,Crystalline,MAE,Curie temperature (K),exchange constant (J/m) *10^-12,Electronegativity core,Demagnetization factors (Nd),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g)
0,1,ZnO,CoFe2O4,Zn1 O1,Fe2 Co1 O4,,Zn1 Fe2 Co1 O5,"['ZnO', 'CoFe2O4']",7.4,7.4,7.4,1.000000282,1,0.4054054054,1,186,227,16,27800,52.1524,13.76705,1132,0,5,5,50,23,0,1,,,,,,,,,,,,,
1,2,CoO,CoFe2O4,Co1 O1,Fe2 Co1 O4,,Fe2 Co2 O5,"['CoO', 'CoFe2O4']",7,7,7,1.000000282,1,0.4285714286,1,225,227,0,7800,83.14,43.2642,406,0,5,5,50,32,0,1,,,,,,,,,,,,,
2,3,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8,,,Mn1 Zn1 Fe4 O8,['Mn0.50Zn0.50Fe2O4'],17,17,17,1.000000282,1,0.1764705882,1,227,0,3,24.8,2.29,0.0078,51.34,0,300,0,10,13,1,1,,,,,,,,,,,,,
3,4,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8,,,Mn1 Zn1 Fe4 O8,['Mn0.50Zn0.50Fe2O4'],11,11,11,1.000000282,1,0.2727272727,1,227,0,3,90.2,2.43,0.0218,108.18,0,300,0,10,13,1,1,,,,,,,,,,,,,
4,5,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8,,,Mn1 Zn1 Fe4 O8,['Mn0.50Zn0.50Fe2O4'],12,12,12,1.000000282,1,0.25,1,227,0,3,40.07,16.15,0.3498,8.92,0,300,0,10,13,1,1,,,,,,,,,,,,,
5,6,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8,,,Mn1 Zn1 Fe4 O8,['Mn0.50Zn0.50Fe2O4'],18,18,18,1.000000282,1,0.1666666667,1,227,0,3,47.13,18.75,0.6546,14.38,0,300,0,10,13,1,1,,,,,,,,,,,,,
6,7,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8,,,Mn1 Zn1 Fe4 O8,['Mn0.50Zn0.50Fe2O4'],21,21,21,1.000000282,1,0.1428571429,1,227,0,3,109.35,81.48,9.2738,2.83,0,300,0,10,13,1,1,,,,,,,,,,,,,
7,8,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],27,27,27,1.000000282,1,0.1111111111,1,62,0,19,830,1.3235,0.735,0,0.017,5,0,60,51,1,0,,,,,,,,,,,,,
8,9,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],27,27,27,1.000000282,1,0.1111111111,1,62,0,19,894,1.3529,0.735,255,0.04732,5,0.5,60,51,0,0,,,,,,,,,,,,,
9,10,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],27,27,27,1.000000282,1,0.1111111111,1,62,0,19,910,1.3529,0.735,296,0.01728,5,1,60,51,0,1,,,,,,,,,,,,,
10,11,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],27,27,27,1.000000282,1,0.1111111111,1,62,0,19,945,1.3823,0.735,344,0.04318,5,2,60,51,0,1,,,,,,,,,,,,,
