Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),id,Core_composition_formula,length,width,depth
0.429,1.000,0.000,0.000,0.917,6000.000,34000.000,11000.000,34000.000,0.000,140000.000,948.000,1.000,0.100,2.753,167.000,0.333,28.000,3.564,19.253,0.500,0.000,<built-in function id>,Au1Fe2O3,14.000,14.000,14.000
0.423,1.000,7.000,-3.288,1.000,11000.000,128.000,47750.000,1500.000,0.000,140000.000,632.750,1.000,0.257,2.750,227.000,0.333,20.000,0.000,0.000,0.500,0.000,<built-in function id>,Co0.03Fe0.97Fe2O4,7.100,7.100,7.100
0.435,1.000,7.000,-3.288,1.000,11000.000,128.000,47750.000,2000.000,0.000,140000.000,632.750,1.000,0.257,2.750,227.000,0.333,20.000,0.000,0.000,0.500,0.000,<built-in function id>,Co0.05Fe0.95Fe2O4,6.900,6.900,6.900
0.353,1.000,1.000,3.212,1.000,9625.000,167276.000,11000.000,82000.000,1.000,772500.000,810.000,1.000,0.105,2.751,227.000,0.333,73.500,143.000,10.800,0.500,0.004,<built-in function id>,Co0.1Fe0.9Fe2O4,17.000,17.000,17.000
0.353,1.000,1.000,3.212,1.000,230100.000,104.000,1613500.000,82000.000,1.000,612500.000,682.250,1.000,0.132,2.751,227.000,0.333,86.200,9.100,69.000,4.714,0.000,<built-in function id>,Co0.1Fe0.9Fe2O4,17.000,17.000,17.000
0.500,1.000,0.000,0.000,1.000,200000.000,55828.000,580000.000,82000.000,0.000,772500.000,550.500,1.000,0.533,2.751,227.000,0.333,82.000,7.400,65.000,9.100,0.004,<built-in function id>,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.500,1.000,0.000,0.000,1.000,200000.000,55828.000,580000.000,82000.000,0.000,772500.000,550.500,1.000,0.533,2.751,227.000,0.333,82.000,7.400,65.000,9.100,0.004,<built-in function id>,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.500,1.000,0.000,0.000,1.000,200000.000,55828.000,580000.000,82000.000,0.000,772500.000,550.500,1.000,0.533,2.751,227.000,0.333,82.000,7.400,65.000,9.100,0.004,<built-in function id>,Co0.1Fe0.9Fe2O4,6.000,6.000,6.000
0.423,1.000,7.000,-3.288,1.000,11000.000,104.000,11000.000,82000.000,0.000,140000.000,635.000,1.000,0.257,2.751,227.000,0.333,20.000,0.000,0.000,0.500,0.000,<built-in function id>,Co0.1Fe0.9Fe2O4,7.100,7.100,7.100
0.158,1.000,0.000,0.000,1.011,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.746,141.000,0.333,93.000,0.000,0.000,0.156,0.001,<built-in function id>,Co0.24Mn0.15Fe0.61Fe2O4,19.000,19.000,19.000
0.316,1.000,1.000,3.212,1.000,38225.000,104.000,5000.000,119000.000,0.000,140000.000,800.000,1.000,0.257,2.752,227.000,0.333,63.970,94.120,8.107,0.500,0.000,<built-in function id>,Co0.3Fe0.7Fe2O4,19.000,19.000,19.000
0.316,1.000,1.000,3.212,1.000,38225.000,104.000,5000.000,119000.000,0.000,140000.000,800.000,1.000,0.257,2.752,227.000,0.333,63.970,94.120,6.107,0.500,0.000,<built-in function id>,Co0.3Fe0.7Fe2O4,19.000,19.000,19.000
0.333,1.000,0.000,0.000,1.000,200000.000,177250.000,820000.000,119000.000,0.000,1717500.000,550.500,1.000,0.282,2.752,227.000,0.333,84.000,10.597,70.000,9.100,0.004,<built-in function id>,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.333,1.000,0.000,0.000,1.000,200000.000,177250.000,820000.000,119000.000,0.000,1717500.000,550.500,1.000,0.282,2.752,227.000,0.333,84.000,10.597,70.000,9.100,0.004,<built-in function id>,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.333,1.000,0.000,0.000,1.000,200000.000,177250.000,1700000.000,119000.000,0.000,1717500.000,550.500,1.000,0.282,2.752,227.000,0.333,84.000,10.597,70.000,9.100,0.004,<built-in function id>,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.158,2.754,227.000,0.333,73.750,13.580,49.200,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.152,2.754,227.000,0.333,40.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
